,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood
173,5NF7xe_zl-PTIq6WQJA0-7H9NWQ9Lm9cow6ax2EnrnvAZz4z8pISXnd2BA,Axwerbit,1011,I,193,144,True,False,False
174,2KiNwatk-7tdoAAlJ0c7RmgyFGZ72yFpFM7SK6h2Giz8BdM,TSM FTX Solo,1217,I,398,334,True,False,False
175,C8Jn1s1TCGWYnY9fujPflmWTJCf-o5MDOBI2NeMByQ_IbEdt,FORA999,1243,I,161,95,True,False,False
176,kq3K5aJ6ANYwsM2_cS61MBE4Uwl34ltGUXzmLZihTi6n3Po,SiddyWiddy2,1201,I,127,107,True,False,False
177,uT-aztqseXkOZtSIWjEchIMC5VUyVe0igmk0rEyw8VYz9CI,Prymari,915,I,861,827,False,False,False
178,V_mVdbsqNu_01weyOSjpeQJFOAua-iFp7LWoGDZZ8cMPpbw,provlng,900,I,357,323,True,False,False
179,fJ1DYkZLCrbe_GcrAy9X70DEjDT_Hpmzxiu_JMcoI9g-P1U,King of Shadowss,994,I,354,271,False,False,False
180,Lh1iDiOndK5GczYlA0ODK_s7ht4JrdRlmDKpoPbAAM5uyaA,Feather Daddy,1565,I,732,663,True,False,False
181,T5NVQVXn5tbxqzpAl2eQFigiJz2e4lug-dvEunPmxHcezJA,Qitong,1272,I,233,210,True,False,False
182,D5DtYySdoOAdTz8OSqZe6Ea3CIitcL88QA09w281_NlNJzc,DrewDozer,1011,I,237,194,False,False,False
183,S0WFmF3neGQbgLL7uUzF0yfYUdb5Rm9vEY9FXyqXm5DHp9Q,Dacryagogue,846,I,278,242,False,False,False
184,6cMqO-nDrEC8yJNfk14diU0A_1wid10B-tLtPKZkg1pimAID91pr6hblOA,TSM FTX Chime,1011,I,344,296,False,False,False
185,DySM_p6KruQ3HywhwjOnVAkMofC0oZMCSAGQ4c8osH6tzZ0,Liń,847,I,496,439,False,False,True
186,8E-jtAEQosslb-JdR5kpfhPiFD8vTwsJUfvgu5-xM7mfyh1S,Nonstopping,852,I,86,62,False,False,False
187,3rg23qWlbT5AKLOLwQuQZyJoG3QrlxbLwWEjRIFwsOBeW5DNmm_SPys9Iw,McDonald Region7,885,I,299,270,True,False,False
188,qDsxqo_Ij8fmOrfS5lyRsKfbQ8K1XeHb-4-ljWuhQkClYw0O,Love Aurora,881,I,250,221,False,False,False
189,ZZQokK5Ym90K_ZwmlKUyryEX0pNySbiK85fe0PQeM-uF1MA,100 Sword,1460,I,267,199,True,False,False
190,2VL3_OlZZi5EGRe76vgje9QWKOCZzfx01Aiy7bKGOKmmD0iC,03jg,892,I,403,368,False,False,False
191,PlGsvAsKJeLcYjFWZEf_Ffmai4d7l1UEO6QayPZa5j8im9s,KryRa,1102,I,168,119,False,False,False
192,8ss1anAZueltS07k9g10LpVtHttjmODfelKU6ZFaFqIiMgI,Fishlord,1128,I,449,399,True,False,False
193,Oat0T2ZV5732nFw9WuNzBt1Qx6S70Co3COPTautx97SUZo8,la che de shen,1130,I,831,776,True,False,False
194,iiZWPjUjd9CbXVMQeCxA33hQqB8AeP0US89Ev4kFEX9nboM,Karasmai v9 ,955,I,408,378,False,False,False
195,vH0G5e7I0CUqW1JMbDAstF6GpOJ8uofaYNcJSh7ojlHNLuG9Bpyw0ev2oQ,FLY Yuuji,1028,I,328,282,False,False,False
196,KZBVOzRR4qsatgObNmi6L-3YQ5nx62puj-QH65pATWbH7-nTVsEfekTxOQ,bigboichoi69,1107,I,349,300,True,False,False
