summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood
HWmtjnPwYpk_5AYiadxvlLRXBrVO0jA5HfWRzy0TZ_xgbycikhIcNnnIMA,caffeine22,1196,Challenger,256,191,TRUE,FALSE,FALSE
rVf-32q0AorAHCi63cBCd32qkRYK0eAcx_a85V3RLutQrqCz,Wx Soloap,1453,Challenger,161,108,TRUE,FALSE,FALSE
IGXP9eVTUsLK6lsMMU_2L2zKlaULWGAAKHT-H063hgY0GlOWuezOH1VdUA,summer games,1151,Challenger,171,126,TRUE,FALSE,FALSE
Y1VcD9ZTueFGwyE8zKnJkKC1TpGNgjtlvODKs771PSPtzU3vvBn9-IhF5Q,Pentaless,1189,Challenger,357,311,TRUE,FALSE,FALSE
IIsfWVYaBhKdsig6OHNGbAHK4upBeCGp5mvmuucKskUm,ııııııııııııı,906,Challenger,362,326,TRUE,FALSE,FALSE
qPcvq1Vk6Kp-WyXNBYgOwlfXOB6Ok6eIz8BDtENGRo9cDSY,Blacc Massu,1032,Challenger,497,455,TRUE,FALSE,FALSE
c9oEpxegUrtrsaE6aZzlskulWlm2EDaM9HdpyHhkLm6CPsx87RWD_Hmpyw,Free Top,1086,Challenger,261,218,TRUE,FALSE,FALSE
P0OMlKbOo52wcxQlzu5yNmdCjJeghpuMYuLk2msTDsdClzg,feather of truth,1057,Challenger,277,220,TRUE,FALSE,FALSE
Ki-bjQVrTgEwf29de1C1VTN_K1KB9I-vdmLeq_lMmncx9iM,latif147,849,Challenger,327,287,FALSE,FALSE,TRUE
Jz03lbJ00tCKCkJPeeh7dk0K1W3KHg6Qjc0rbaKosizh8TE,Koggle,888,Challenger,254,216,FALSE,FALSE,FALSE
0NV8xsXt7sAkWMxJyUDG8PV4WEBbYZ2qIkgJaDq5WVHn,br34th3,890,Challenger,481,436,FALSE,FALSE,TRUE
xfYPKlZ2SnorKjrWvoCQvZsorXGp-Kj-2AtSDHelksRao0-T,Shrimp Cpt,868,Challenger,485,441,FALSE,FALSE,TRUE
vlO-R7UL7S7AOW3A3sNp91u5LpPdZB-q5QHhUCApe8mPXKk,Topo,1297,Challenger,380,326,TRUE,FALSE,FALSE
iBfpTwaXPORw19_gkGT1hhsvH0QxewXxze1ImwH_hqGbb04,Shockey,847,Challenger,366,328,FALSE,FALSE,TRUE
